"Name","train_size","optimizer","hidden_layers","train/loss","val/loss","denoising/train/avg_diff","flatness/train/avg_diff","ID","State","Notes","User","Group","Job Type","Tags","Created","Updated","End Time","Runtime","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","activation","adaptive","amsgrad","batch_size","betas","capturable","compile_model","cpu","criterion","cuda_version","dataset_dir","device","differentiable","eps","hostname","id","input_dim","lr","max_epochs","maximize","pytorch_version","rho","seed","target_loss","test_size","train_set_percentage_for_flatness","weight_decay","denoising/train/mean_0.000","denoising/train/mean_0.111","denoising/train/mean_0.222","denoising/train/mean_0.333","denoising/train/mean_0.444","denoising/train/mean_0.556","denoising/train/mean_0.667","denoising/train/mean_0.778","denoising/train/mean_0.889","denoising/train/mean_1.000","denoising/train/std_0.000","denoising/train/std_0.111","denoising/train/std_0.222","denoising/train/std_0.333","denoising/train/std_0.444","denoising/train/std_0.556","denoising/train/std_0.667","denoising/train/std_0.778","denoising/train/std_0.889","denoising/train/std_1.000","denoising/val/avg_diff","denoising/val/mean_0.000","denoising/val/mean_0.111","denoising/val/mean_0.222","denoising/val/mean_0.333","denoising/val/mean_0.444","denoising/val/mean_0.556","denoising/val/mean_0.667","denoising/val/mean_0.778","denoising/val/mean_0.889","denoising/val/mean_1.000","denoising/val/std_0.000","denoising/val/std_0.111","denoising/val/std_0.222","denoising/val/std_0.333","denoising/val/std_0.444","denoising/val/std_0.556","denoising/val/std_0.667","denoising/val/std_0.778","denoising/val/std_0.889","denoising/val/std_1.000","flatness/train/mean_0.000","flatness/train/mean_0.017","flatness/train/mean_0.033","flatness/train/mean_0.050","flatness/train/mean_0.067","flatness/train/mean_0.083","flatness/train/mean_0.100","flatness/train/mean_0.117","flatness/train/mean_0.133","flatness/train/mean_0.150","flatness/train/std_0.000","flatness/train/std_0.017","flatness/train/std_0.033","flatness/train/std_0.050","flatness/train/std_0.067","flatness/train/std_0.083","flatness/train/std_0.100","flatness/train/std_0.117","flatness/train/std_0.133","flatness/train/std_0.150","flatness/val/avg_diff","flatness/val/mean_0.000","flatness/val/mean_0.017","flatness/val/mean_0.033","flatness/val/mean_0.050","flatness/val/mean_0.067","flatness/val/mean_0.083","flatness/val/mean_0.100","flatness/val/mean_0.117","flatness/val/mean_0.133","flatness/val/mean_0.150","flatness/val/std_0.000","flatness/val/std_0.017","flatness/val/std_0.033","flatness/val/std_0.050","flatness/val/std_0.067","flatness/val/std_0.083","flatness/val/std_0.100","flatness/val/std_0.117","flatness/val/std_0.133","flatness/val/std_0.150","train/bias_norm","train/denoising_avg_diff","train/epoch","train/flatness_avg_diff","train/weight_norm","val/denoising_avg_diff","val/epoch","val/flatness_avg_diff"
"glamorous-flower-141","16384","SAM","[3072,30]","0.05393300950527191","0.057681966572999954","0.00539316645008512","0.0019298428561887668","eb9xlift","finished","-","mattia-scardecchia","","","","2024-03-02T21:24:41.000Z","2024-03-02T21:50:11.000Z","2024-03-02T21:50:11.000Z","1530","","gnode02","","00879fb2ddaf800b141d9b25eb839851e42ba896","https://github.com/MattiaSC01/HM/tree/00879fb2ddaf800b141d9b25eb839851e42ba896","1","NVIDIA A100 80GB PCIe","ReLU","false","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/cifar-10-batches-py","cuda","false","1e-8","gnode02","cifar10-train","3072","0.0005","93","false","2.2.0","0.05","80","0.055","30000","1","0.15","0.053092504744806014","0.05324092795490287","0.053706164942317024","0.05450549988017883","0.05573811075009871","0.05744516653066967","0.0596143526781816","0.06232562128570862","0.06563308138962991","0.06955528067677126","1.1671809300621163e-10","0.0000018037238275900187","0.000004247628341711415","0.000004617202920006489","0.000014532410589845358","0.0000124859066477791","0.000005962955304362218","0.000022637626855158195","0.000020424763567759483","0.000043393985723829326","0.005126989757021264","0.057681966572999954","0.057816835741202034","0.05824407438437144","0.05900222435593605","0.06014841919143995","0.06175496429204941","0.06384953608115514","0.06646382063627243","0.06966458757718404","0.07346313446760178","0","8.56090299010537e-7","0.000004153204732264987","0.000008426365380654894","0.000006718144910210982","0.000006074317444094765","0.000022097912528048535","0.00004081643551785276","2.929824969526366e-7","0.00001943153842957674","0.05309250468999381","0.053157623721926936","0.05335675340320449","0.053716934575641063","0.054182977437449154","0.05474294116866076","0.05555385991319781","0.05643762241088553","0.05742500913329422","0.05855725280562183","2.053888839313415e-10","0.000014140800585259104","0.00003718043015679276","0.00003332564690531635","0.0000782335193852619","0.00005972197412729169","0.00012426408764634012","0.00015336255932905474","0.00014118563396805974","0.00014872839304021432","0.0018554347008466684","0.057681966572999954","0.05774664245545864","0.057932193577289584","0.05827494151890278","0.05872339829802513","0.05925273410975933","0.060008999332785605","0.06091272570192814","0.06188255213201046","0.06295785903930665","0","0.00002339526105219966","0.00003144642981398142","0.000049304290650451326","0.00007994728249270128","0.00010026356940453528","0.00011216683775305104","0.00009360787961707982","0.0001470345858339507","0.00023369979119409025","0.0006218270282261074","0.00539316645008512","14","0.0019298428561887668","0.000008942163731262553","0.005126989757021264","14","0.0018554347008466684"
"dauntless-galaxy-140","16384","AdamW","[3072,30]","0.0505785308778286","0.05694622918963432","0.006445931999769526","0.002189394189190355","n0ddr0hz","finished","-","mattia-scardecchia","","","","2024-03-02T21:01:10.000Z","2024-03-02T21:24:38.000Z","2024-03-02T21:24:38.000Z","1408","","gnode02","","00879fb2ddaf800b141d9b25eb839851e42ba896","https://github.com/MattiaSC01/HM/tree/00879fb2ddaf800b141d9b25eb839851e42ba896","1","NVIDIA A100 80GB PCIe","ReLU","","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/cifar-10-batches-py","cuda","false","1e-8","gnode02","cifar10-train","3072","0.0005","93","false","2.2.0","","80","0.055","30000","1","0.15","0.053054222065838985","0.05325751807928706","0.053867127697837226","0.05492762711461789","0.05642659517373735","0.058447072573471814","0.061004375582948946","0.06411824440874625","0.06781269084118928","0.07208606682737202","1.191125596505655e-10","0.000001526332683694239","0.000003537175559517878","0.000016980312554181277","0.00001398726518080094","0.00000924076826149446","0.000041380499429089854","0.00002724002452918632","0.000058118480324428054","0.00008338365707458208","0.00613637703160444","0.05694622918963432","0.05713168034950892","0.057698807368675865","0.05866677065690359","0.060094969968001045","0.06201072906454405","0.06445695708195369","0.0674671580394109","0.07107499986886978","0.07527776062488556","0","0.0000011624238958421888","0.000003662970814769899","0.000011739627093729468","0.000009531861444786497","0.000017082471022998644","0.000008514433839680443","0.00003113805179396538","0.00005251120312691937","0.000024895586338694172","0.053054222218634095","0.05313201909593772","0.05334946040966315","0.05372223009180743","0.05429966621013591","0.05496146972291171","0.055839421908603984","0.056758026614261325","0.05798234716494335","0.05933729911339469","1.287476764990618e-10","0.00001178295117653482","0.000053381234394993536","0.000048579398709431306","0.0001365725065657097","0.00012393979100108605","0.00009152864584696896","0.00016153950761266535","0.0002904714903905312","0.0002297788176418712","0.0021154215186834496","0.05694622918963432","0.05701020732522011","0.057245532795786855","0.05761541575193405","0.05816519521176815","0.05877967625856399","0.05953703224658966","0.06060514561831951","0.0616580817848444","0.06305399090051651","0","0.000020924991014853227","0.00003457791395641293","0.00006992649772488096","0.00011749436079078872","0.00012895239839081634","0.00009243766500798288","0.00022765642206094223","0.0001287656020211231","0.00021302834370367352","0.0004402591730467975","0.006445931999769526","13","0.002189394189190355","0.00000932296006794786","0.00613637703160444","13","0.0021154215186834496"
"likely-armadillo-139","8192","SAM","[3072,30]","0.0462120920419693","0.058718543499708176","0.005408111255383118","0.00217051707702922","tuotzs7l","finished","-","mattia-scardecchia","","","","2024-03-02T20:42:53.000Z","2024-03-02T21:01:06.000Z","2024-03-02T21:01:06.000Z","1093","","gnode02","","00879fb2ddaf800b141d9b25eb839851e42ba896","https://github.com/MattiaSC01/HM/tree/00879fb2ddaf800b141d9b25eb839851e42ba896","1","NVIDIA A100 80GB PCIe","ReLU","false","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/cifar-10-batches-py","cuda","false","1e-8","gnode02","cifar10-train","3072","0.0005","187","false","2.2.0","0.05","80","0.05","30000","1","0.15","0.047691758120587714","0.04783747914674071","0.04828651179559529","0.04909435052347059","0.05030016511833916","0.05198894457619948","0.0542257369767564","0.056963280939574666","0.06034562364220619","0.06426484078595725","2.5427710928645986e-10","0.000006869475072672301","0.000004259203535710467","0.0000017167521186106669","0.00000915962698415768","0.00000914950678787954","0.000008178913895399197","0.00004451700865304241","0.000012606825803989016","0.00008511526378337401","0.004761808738112452","0.058718543499708176","0.058840859681367874","0.059222993751366935","0.059910330921411514","0.06097034613291422","0.06245125581820806","0.06439251204331715","0.06689563641945521","0.06990846991539001","0.07349257419506709","0","0.0000021405901861451095","0.000002595787875738894","0.000005827295991770085","0.0000079636585391816","0.000007686831499944177","0.000010889125712333882","0.00001463212528337608","0.000012889019920498397","0.000010593736168833846","0.04769175814290065","0.04776872908405494","0.04798184974642936","0.04836410312564112","0.04890299178077839","0.04957280998933129","0.05044652652868535","0.05136755066632759","0.05261487444222439","0.05391155837278347","1.2381961211901304e-10","0.000008659919410332735","0.000021412568514489823","0.00002916904884935812","0.00005482938815081588","0.00007845921112600827","0.00007360793188974852","0.00011051907724982933","0.0001185747738245551","0.00013521667687328045","0.0019888316839933445","0.058718543499708176","0.05878240391612053","0.058974815905094145","0.059335127100348474","0.05984337627887726","0.06045890897512436","0.06117954216897488","0.06207794845104218","0.06321550980210304","0.06448757573962212","0","0.0000134388243541494","0.000010601210746389174","0.00003065773453079348","0.00005130267481024805","0.0000492880516440689","0.00007130056345702221","0.00012625759105709618","0.00013465023504533207","0.0001744466922624514","0.000645922205876559","0.005408111255383118","29","0.00217051707702922","0.000008879205779521726","0.004761808738112452","29","0.0019888316839933445"
"cerulean-blaze-138","8192","AdamW","[3072,30]","0.04868512600660324","0.058438535779714584","0.0069348988191147015","0.002268379254674082","mvkoiyag","finished","-","mattia-scardecchia","","","","2024-03-02T20:27:05.000Z","2024-03-02T20:42:50.000Z","2024-03-02T20:42:50.000Z","945","","gnode02","","00879fb2ddaf800b141d9b25eb839851e42ba896","https://github.com/MattiaSC01/HM/tree/00879fb2ddaf800b141d9b25eb839851e42ba896","1","NVIDIA A100 80GB PCIe","ReLU","","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/cifar-10-batches-py","cuda","false","1e-8","gnode02","cifar10-train","3072","0.0005","187","false","2.2.0","","80","0.05","30000","1","0.15","0.048560640056772776","0.048788749457647405","0.04945982618179793","0.050606699291771896","0.05222062910130868","0.05443423230705472","0.05711796795367263","0.060463765723397955","0.06443775724619627","0.06886511988705024","1.9810567858960847e-10","0.000001804559275366796","0.000004534978531590431","0.000007499444487087513","0.00002102406434131828","0.0000381983148772457","0.00006673399159580312","0.00004934970409525298","0.00003373285549948514","0.00008742192184859785","0.006170650571584696","0.058438535779714584","0.05862558384736379","0.05920336271325747","0.06017301231622696","0.06161366403102875","0.06354267646869023","0.06600670764843623","0.06902995457251866","0.0726039136449496","0.07685445249080658","0","0.00000115727288844179","0.000002269757758588568","0.0000020806738481134747","0.000011266214689756644","0.000017313676654256008","0.000015629161134209365","0.00003667133864465669","0.000005912280217237063","0.0000360526666394329","0.04856064003542997","0.04865302335238084","0.04887716240482405","0.049243144696811215","0.0498573315620888","0.05055998452589847","0.05148015945160296","0.05245592619467061","0.05358544457121752","0.05501737360318657","1.4916008876778318e-10","0.000017810022368212145","0.00004781709299720999","0.00006940034659594883","0.0000746140791291507","0.00010812336477491242","0.00013766643223107067","0.00014836838292169846","0.00016380507800904922","0.0002423888658238428","0.0020879674330353745","0.058438535779714584","0.05850393027067184","0.05871536061167717","0.05906682796776295","0.05958465673029423","0.06026847697794437","0.061039640381932256","0.06203493736684322","0.06312827095389366","0.06448439508676529","0","0.000022707468828989856","0.00004096746447996318","0.0000652924415574366","0.00007481547876963137","0.00011177843679780592","0.00011095795876710484","0.00017421129161338108","0.00019219892593396143","0.00018883667452209625","0.00043320897384546697","0.0069348988191147015","26","0.002268379254674082","0.000009381257768836804","0.006170650571584696","26","0.0020879674330353745"
"feasible-capybara-137","4096","SAM","[3072,30]","0.037379126995801926","0.06721444427967072","0.005459379985889731","0.0035522425832459695","vyk82oxw","finished","-","mattia-scardecchia","","","","2024-03-02T20:12:59.000Z","2024-03-02T20:27:01.000Z","2024-03-02T20:27:01.000Z","842","","gnode02","","00879fb2ddaf800b141d9b25eb839851e42ba896","https://github.com/MattiaSC01/HM/tree/00879fb2ddaf800b141d9b25eb839851e42ba896","1","NVIDIA A100 80GB PCIe","ReLU","false","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/cifar-10-batches-py","cuda","false","1e-8","gnode02","cifar10-train","3072","0.0005","375","false","2.2.0","0.05","80","0.035","30000","1","0.15","0.03355462012890106","0.033700292862098045","0.034157570267173774","0.03497099037243364","0.03619525950246801","0.03794180623178059","0.040151302062440664","0.04294022228956843","0.046309910617613546","0.05021802720148117","6.721241739457779e-11","6.103084046782158e-7","0.00000414251032516425","0.00001470819087299587","0.000023294349375560577","0.000014688815979831273","0.000008923212930724697","0.0000627403883940714","0.000030690786943235225","0.00006044823049452619","0.003992942472298949","0.06721444427967072","0.06732560445864995","0.06766935189565022","0.06828225900729497","0.06919107834498088","0.07042683412631352","0.07203189531962077","0.07405657817920049","0.07648103684186935","0.07939478506644566","0","0.0000017781826896721056","0.00000436747882789423","0.000004646214159596077","0.00000736975163023859","0.000005323044004260432","0.00002518937652126914","0.000009766885179730918","0.00002767015636669087","0.00004563841351374768","0.033554620313225314","0.033683443823247214","0.03404956116573885","0.03467435628117528","0.03557290865574032","0.03668478683102876","0.038055473915301265","0.03962299133418128","0.041510661685606465","0.04365982466842979","1.2423696146643195e-10","0.00001652897495001789","0.00004401645777685275","0.00004414531635151308","0.00006990125212657578","0.00007365281814701217","0.00012894897505193737","0.00018545762149316377","0.0001468886714034999","0.0002600196500113659","0.0027348631620407043","0.06721444427967072","0.06730800047516823","0.06761271059513092","0.06805714890360832","0.06870445832610131","0.06958933621644973","0.07077047154307366","0.07179741635918617","0.07332029938697815","0.07511878833174705","0","0.00002764986750010908","0.00003713406097352259","0.000038579385546772105","0.00006542651065805288","0.0000918965768035864","0.00014299876513717066","0.00015035025244423164","0.00021798681025781495","0.00026322907145403705","0.0007268052431754768","0.005459379985889731","74","0.0035522425832459695","0.00000866824029799318","0.003992942472298949","74","0.0027348631620407043"
"cosmic-pyramid-136","4096","AdamW","[3072,30]","0.03448168933391571","0.06634806096553802","0.005390742825693448","0.0035055607274989548","tzv6popc","finished","-","mattia-scardecchia","","","","2024-03-02T20:00:05.000Z","2024-03-02T20:12:56.000Z","2024-03-02T20:12:56.000Z","771","","gnode02","","00879fb2ddaf800b141d9b25eb839851e42ba896","https://github.com/MattiaSC01/HM/tree/00879fb2ddaf800b141d9b25eb839851e42ba896","1","NVIDIA A100 80GB PCIe","ReLU","","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/cifar-10-batches-py","cuda","false","1e-8","gnode02","cifar10-train","3072","0.0005","375","false","2.2.0","","80","0.035","30000","1","0.15","0.03335454651581434","0.033524581075956426","0.03404279072613766","0.034920263705619924","0.03620222855048875","0.03791554113073895","0.04002846957882866","0.042644873436074704","0.04567195488683259","0.049147643614560366","1.1762173044051106e-10","0.000004677153905012959","0.0000032241782677196485","0.00001044362233861256","0.000003381546690348562","0.000008592797931976501","0.000030579141729746645","0.00004156720606042074","0.00005004073466195052","0.00007365797205636744","0.003685720761617023","0.06634806096553802","0.06646289676427841","0.06680236756801605","0.06738851964473724","0.06822481999794643","0.0693957656621933","0.07085079948107402","0.07265517612298329","0.074832983314991","0.07737642774979274","0","0.000003599401627314189","0.000002404275922427493","0.00001305981369710172","0.000008373757660686156","0.000005354910113589533","0.00000680809550809038","0.000014504247027604415","0.000020429557209620326","0.000023015836370831613","0.03335454639454838","0.0334809160704026","0.03383362595923245","0.03447193905885797","0.035316738585243","0.036458996689179915","0.037776683625997974","0.03939751827856526","0.041128222533734514","0.04338188417023048","2.2260149912877176e-10","0.000019233243609072673","0.00003819412712864891","0.00008838243024250107","0.00005087530601873386","0.00009571039299567878","0.00010162409601536028","0.00016908788292254893","0.00019796248558925903","0.00025990796363078956","0.002744656205177304","0.06634806096553802","0.06643100976943969","0.06672803238034249","0.06720829457044601","0.06783378422260285","0.06872379779815674","0.0697469599545002","0.07107892706990242","0.07263130024075508","0.07419700473546982","0","0.000022597996973334645","0.000044653096082391366","0.000055840066414441005","0.0000761637557303026","0.00009457251964854842","0.00016394162211088242","0.00014729194974560472","0.00022508587033032688","0.00035553714701121994","0.0005045915022492409","0.005390742825693448","66","0.0035055607274989548","0.00000931199156184448","0.003685720761617023","66","0.002744656205177304"
"driven-cosmos-135","2048","SAM","[3072,30]","0.024320494383573532","0.07686328142881393","0.007718942527814458","0.005714422675082459","tnv1fv00","finished","-","mattia-scardecchia","","","","2024-03-02T19:49:25.000Z","2024-03-02T20:00:01.000Z","2024-03-02T20:00:01.000Z","636","","gnode02","","00879fb2ddaf800b141d9b25eb839851e42ba896","https://github.com/MattiaSC01/HM/tree/00879fb2ddaf800b141d9b25eb839851e42ba896","1","NVIDIA A100 80GB PCIe","ReLU","false","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/cifar-10-batches-py","cuda","false","1e-8","gnode02","cifar10-train","3072","0.0005","750","false","2.2.0","0.05","80","0.025","30000","1","0.15","0.02352121132814015","0.023712306962503742","0.02431863604579121","0.025458772492129356","0.027170559895845752","0.029609966538070392","0.03278999282823255","0.03678542883911481","0.041693509090691805","0.04734115415097525","6.721241739457774e-11","0.0000026067522109915667","0.000016407972050178553","0.000006370622631954584","0.00003022056333757972","0.00005858561419135643","0.00004869329183818487","0.000024457821864172248","0.00008481146330661636","0.00017963064498724665","0.0053355261683463995","0.07686328142881393","0.07700817535320918","0.07745221257209778","0.07822888344526291","0.07943170517683029","0.08106327801942825","0.08324482043584187","0.08598682036002477","0.08934357017278671","0.09336532900730768","0","0.000004524510891817525","0.000005448575511123808","0.000009577839447305763","0.000005924916996548045","0.000039411438941057634","0.00001906348120253289","0.000022767152219764128","0.00001156692259602975","0.00006073151984979555","0.02352121133590117","0.02373048120061867","0.024321057857014237","0.025336947978939865","0.02669338503619656","0.02855979566811584","0.030730247555766255","0.03331848179223016","0.03639778461074457","0.03974694486241788","2.08611290524956e-10","0.000019420715530012723","0.00002577618355063374","0.000029134173579216612","0.00005984883607969607","0.0001260967636698326","0.0002005088394043132","0.00010017960909647904","0.00013727389583996353","0.00030199431834059573","0.0044810309261083675","0.07686328142881393","0.07701091468334198","0.07748550102114678","0.0782540537416935","0.07934290394186974","0.08077445402741432","0.08245244547724724","0.08444455489516259","0.08708100393414497","0.08973401039838791","0","0.00002019706201434508","0.000037252631525865255","0.00006821228224163174","0.00009142472830167622","0.00007637965468167944","0.00013758335787633126","0.00015791152208337168","0.00023055342995780464","0.00023694693772327363","0.0006572527345269918","0.007718942527814458","123","0.005714422675082459","0.0000092046329882578","0.0053355261683463995","123","0.0044810309261083675"
"stellar-firebrand-134","2048","AdamW","[3072,30]","0.025292765349149704","0.0768737941980362","0.008995889878133309","0.00706777074956335","afckgo27","finished","-","mattia-scardecchia","","","","2024-03-02T19:40:35.000Z","2024-03-02T19:49:22.000Z","2024-03-02T19:49:22.000Z","527","","gnode02","","00879fb2ddaf800b141d9b25eb839851e42ba896","https://github.com/MattiaSC01/HM/tree/00879fb2ddaf800b141d9b25eb839851e42ba896","1","NVIDIA A100 80GB PCIe","ReLU","","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/cifar-10-batches-py","cuda","false","1e-8","gnode02","cifar10-train","3072","0.0005","750","false","2.2.0","","80","0.025","30000","1","0.15","0.023665965379526217","0.02394976825841392","0.02480972536917155","0.026307512947823852","0.02847531657122697","0.03133772517321631","0.03484999826954057","0.03914151018640647","0.04419656175499161","0.04988446730809907","2.3524346088102207e-10","0.00000787746951852988","0.000010624365948132422","0.00001910817992789089","0.000030136104831837297","0.00002099470815340867","0.00004225607737478785","0.00005907073530016476","0.00009604760269411855","0.0002041406128558449","0.005700744440158195","0.0768737941980362","0.07704168061415355","0.07755241294701894","0.07840674370527267","0.0797248085339864","0.08147361129522324","0.08377094318469365","0.08661568413178126","0.09011355290810268","0.09417215486367544","0","0.0000052145246912761875","0.000006831598740093049","0.000015551980077020247","0.000017414058805295834","0.000007544525015933969","0.000018659907831753814","0.000030204604424666277","0.000012410114166913856","0.00003702837090466075","0.023665965400869023","0.023914372135186567","0.02465397003106773","0.025891269790008664","0.027587355487048625","0.02991169088636525","0.03257645818521269","0.035877275990787896","0.03951727489475161","0.043741725385189056","2.2300279254085392e-10","0.0000247057283128714","0.000044189754232772625","0.000059924358915792626","0.0001223421709463701","0.00012588232369152948","0.00015481569683202103","0.0001892816041881283","0.00035914101703317744","0.0003347882345547761","0.005681202411651612","0.0768737941980362","0.07706353068351746","0.07764403223991394","0.07871587425470353","0.08003175780177116","0.0818091243505478","0.08404953479766845","0.08654302209615708","0.08971083313226699","0.09310846254229546","0","0.000023884400798072133","0.00006021252289798193","0.00006727491790344109","0.00009341955674296348","0.00011764381088155998","0.00019304400397629492","0.0002410848511600804","0.0002861195091644953","0.00040468434823137","0.00042641081381589174","0.008995889878133309","105","0.00706777074956335","0.0000098212985903956","0.005700744440158195","105","0.005681202411651612"
"drawn-dream-133","1024","SAM","[3072,30]","0.01929168403148651","0.08811881393194199","0.012461728331012029","0.008237108392640951","umls0z72","finished","-","mattia-scardecchia","","","","2024-03-02T19:33:31.000Z","2024-03-02T19:40:32.000Z","2024-03-02T19:40:32.000Z","421","","gnode02","","00879fb2ddaf800b141d9b25eb839851e42ba896","https://github.com/MattiaSC01/HM/tree/00879fb2ddaf800b141d9b25eb839851e42ba896","1","NVIDIA A100 80GB PCIe","ReLU","false","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/cifar-10-batches-py","cuda","false","1e-8","gnode02","cifar10-train","3072","0.0005","1500","false","2.2.0","0.05","80","0.02","30000","1","0.15","0.0186871614617606","0.019014806486666203","0.0200367149276038","0.021951848175376657","0.02483070645636569","0.02885740145575255","0.03405296173878014","0.040093430395548545","0.04771683209886154","0.056247038611521326","3.3606208697288864e-10","0.0000032354291069816717","0.000020196347902831975","0.00003090756298260536","0.000019398891109620785","0.00013319342677075514","0.00011850064370370952","0.0001709370185171444","0.00005583022676802659","0.0002153296194038944","0.008671928693850833","0.08811881393194199","0.08834725121657054","0.089071124792099","0.09033668289581936","0.09228163212537766","0.09500068674484888","0.09853261709213255","0.1030020962158839","0.10842108229796092","0.11479543894529344","0","8.927130506456229e-7","0.00001812492590533788","0.000015716286452791724","0.000013069694570546866","0.00002256237725802901","0.000002126628552888775","0.000011957757871505122","0.00002341697015934858","0.00003727847279750561","0.018687161314301193","0.0189709504134953","0.019817699247505517","0.021263890131376684","0.02325362574774772","0.025927170668728648","0.029130902735050767","0.03281954017002135","0.03718754488509148","0.042184211290441455","2.6996755244406073e-10","0.00003220187291445818","0.000043822722767584973","0.00006849586064678074","0.00007843404037815682","0.00013761965624866303","0.00012879082829043317","0.0002311582820947997","0.0002395068738159517","0.0004157944869939154","0.007042079567909226","0.08811881393194199","0.08836337998509407","0.08912523314356804","0.09033631458878516","0.09198226109147072","0.09428362771868706","0.09697801396250724","0.10022300258278846","0.10410088375210762","0.10809740424156188","0","0.00003836644877733589","0.0000786628222183528","0.00008715560139339515","0.00017701061016581337","0.0001394208500530196","0.00011283904869124547","0.0002581105858145366","0.0002671175563584661","0.0003533466164198773","0.0004989142762497067","0.012461728331012029","163","0.008237108392640951","0.000010073400517285336","0.008671928693850833","163","0.007042079567909226"
"denim-sky-132","1024","AdamW","[3072,30]","0.019925987347960472","0.08783915638923645","0.0155731558566913","0.011288353339768948","pnnvzcci","finished","-","mattia-scardecchia","","","","2024-03-02T19:28:03.000Z","2024-03-02T19:33:28.000Z","2024-03-02T19:33:28.000Z","325","","gnode02","","00879fb2ddaf800b141d9b25eb839851e42ba896","https://github.com/MattiaSC01/HM/tree/00879fb2ddaf800b141d9b25eb839851e42ba896","1","NVIDIA A100 80GB PCIe","ReLU","","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/cifar-10-batches-py","cuda","false","1e-8","gnode02","cifar10-train","3072","0.0005","1500","false","2.2.0","","80","0.02","30000","1","0.15","0.018635875429026783","0.019192584906704724","0.020848418935202066","0.02358822171421101","0.027545671133945387","0.03224189602769911","0.03844119569597145","0.04543048290846249","0.05381494744991263","0.06235101982019842","1.1641532182693479e-10","0.00002923867033248253","0.000017469107410837608","0.00010153937123367845","0.0000764480114718429","0.00010135074610724667","0.00014935982004266483","0.0001627696436166589","0.00021305608080150737","0.0003688150751656302","0.010263193647066751","0.08783915638923645","0.08814877768357594","0.08910562346378963","0.0907309353351593","0.09309888631105424","0.09633774061997732","0.10042677819728851","0.10542091727256776","0.11143945902585985","0.11847522606452306","0","0.000009063117070038","0.00001936097605663181","0.00001943931010671722","0.00003865329547150715","0.0000337007643733771","0.00001641935042843255","0.00009563322770610364","0.00011267624723446824","0.00003400323227406034","0.01863587516127154","0.019036150013562292","0.020246169157326223","0.022182657662779093","0.02495110986055806","0.028443996387068186","0.032814460317604245","0.03798293257132172","0.044028625427745285","0.05092030996456742","1.6509281615868402e-10","0.000026641699790750088","0.00005271666703712122","0.00008867332227450597","0.0000960198998159212","0.00014174744344535087","0.00026544497497420195","0.0004153930858733238","0.00039756625999884734","0.0006079958998573139","0.0097719144821167","0.08783915638923645","0.08816472589969634","0.08916105106472969","0.09090034142136574","0.09327265992760658","0.09627019390463828","0.1000907376408577","0.1045189805328846","0.11002838090062142","0.11586448103189469","0","0.000030977029261091656","0.00007254889290494063","0.0001071289269355115","0.0001620220218510345","0.0001804674081803747","0.0003405078612564671","0.00044416629825437255","0.0003857529295989182","0.000315309295833304","0.0003226781263947487","0.0155731558566913","131","0.011288353339768948","0.000010618497981340624","0.010263193647066751","131","0.0097719144821167"
