"Name","Created","Runtime","Notes","train_size","hidden_layers","optimizer","train/loss","val/loss","target_loss","train/epoch","ID","State","User","Group","Job Type","Tags","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","activation","batch_size","compile_model","cpu","criterion","cuda_version","dataset_dir","device","hostname","id","input_dim","lr","max_epochs","pytorch_version","rho","seed","test_size","train_set_percentage_for_flatness","weight_decay","denoising/train/avg_diff","denoising/train/mean_0.000","denoising/train/mean_0.111","denoising/train/mean_0.222","denoising/train/mean_0.333","denoising/train/mean_0.444","denoising/train/mean_0.556","denoising/train/mean_0.667","denoising/train/mean_0.778","denoising/train/mean_0.889","denoising/train/mean_1.000","denoising/train/std_0.000","denoising/train/std_0.111","denoising/train/std_0.222","denoising/train/std_0.333","denoising/train/std_0.444","denoising/train/std_0.556","denoising/train/std_0.667","denoising/train/std_0.778","denoising/train/std_0.889","denoising/train/std_1.000","denoising/val/avg_diff","denoising/val/mean_0.000","denoising/val/mean_0.111","denoising/val/mean_0.222","denoising/val/mean_0.333","denoising/val/mean_0.444","denoising/val/mean_0.556","denoising/val/mean_0.667","denoising/val/mean_0.778","denoising/val/mean_0.889","denoising/val/mean_1.000","denoising/val/std_0.000","denoising/val/std_0.111","denoising/val/std_0.222","denoising/val/std_0.333","denoising/val/std_0.444","denoising/val/std_0.556","denoising/val/std_0.667","denoising/val/std_0.778","denoising/val/std_0.889","denoising/val/std_1.000","flatness/train/avg_diff","flatness/train/mean_0.000","flatness/train/mean_0.017","flatness/train/mean_0.033","flatness/train/mean_0.050","flatness/train/mean_0.067","flatness/train/mean_0.083","flatness/train/mean_0.100","flatness/train/mean_0.117","flatness/train/mean_0.133","flatness/train/mean_0.150","flatness/train/std_0.000","flatness/train/std_0.017","flatness/train/std_0.033","flatness/train/std_0.050","flatness/train/std_0.067","flatness/train/std_0.083","flatness/train/std_0.100","flatness/train/std_0.117","flatness/train/std_0.133","flatness/train/std_0.150","flatness/val/avg_diff","flatness/val/mean_0.000","flatness/val/mean_0.017","flatness/val/mean_0.033","flatness/val/mean_0.050","flatness/val/mean_0.067","flatness/val/mean_0.083","flatness/val/mean_0.100","flatness/val/mean_0.117","flatness/val/mean_0.133","flatness/val/mean_0.150","flatness/val/std_0.000","flatness/val/std_0.017","flatness/val/std_0.033","flatness/val/std_0.050","flatness/val/std_0.067","flatness/val/std_0.083","flatness/val/std_0.100","flatness/val/std_0.117","flatness/val/std_0.133","flatness/val/std_0.150","train/bias_norm","train/denoising_avg_diff","train/flatness_avg_diff","train/weight_norm","val/denoising_avg_diff","val/epoch","val/flatness_avg_diff"
"festive-dumpling-339","2024-02-22T09:00:22.000Z","242","-","32768","[784,15]","SAM","0.04976646229624748","0.05095451511442661","0.052","58","k2gj2jxg","finished","mattia-scardecchia","","","","2024-02-22T09:04:24.000Z","2024-02-22T09:04:24.000Z","","gnode04","","69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","https://github.com/MattiaSC01/HM/tree/69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode04","mnist-train","784","0.001","93","2.2.0","0.15","9","512","0.015625","0.1","0.01167585612274706","0.05100413473943869","0.0510507069217662","0.0518403520497183","0.054409709914276995","0.057160795045395695","0.061651489697396755","0.06695801019668579","0.0725861731916666","0.08043970074504614","0.0884101651608944","0.0012051213620199771","0.0011037555678248096","0.0005456693670889556","0.0005992360980368624","0.0009654761134859928","0.0007624928218047006","0.00015527054527978638","0.0011479418167451149","0.0001629558456878946","0.0009451464911966692","0.012031237253298369","0.05095451511442661","0.051296585549910866","0.052485427198310695","0.05427073035389185","0.05730115001400312","0.06076874025166035","0.06551385018974543","0.07109344750642776","0.0788494882484277","0.08732358925044537","0","0.000027332217571368127","0.00004991540597844442","0.00006044914987593707","0.00007153518420241595","0.00019668500512654135","0.00016685845238502956","0.0007726122820616135","0.0004421054748031247","0.0011705967024230588","0.004240110125392674","0.05070818583481014","0.05172286042943597","0.05133983595296741","0.05257363985292614","0.05375396520830691","0.0556551206856966","0.05634828666225076","0.058861545752733946","0.06094332584179938","0.06343859937041998","0.0005765943271230683","0.0007382307443674803","0.000935012452933204","0.0007926663666463209","0.0011523573853681895","0.0011575192209269138","0.0016820242969062202","0.0011550523995281213","0.0011098500103624818","0.001344165949290432","0.0043903486523777305","0.05095451511442661","0.05110357031226158","0.05157970916479826","0.05238100215792656","0.05339069692417979","0.05487259300425649","0.056366993300616744","0.05849187299609184","0.0608928925357759","0.06341479215770959","0","0.000049614503455993464","0.00008265421098536951","0.0001382088246479199","0.0001701471850412757","0.00024530351336695116","0.0003683203409140433","0.0004975723841451168","0.0006844817527102623","0.0003878253076063748","0.008193270303308964","0.01167585612274706","0.004240110125392674","0.00005856513962498866","0.012031237253298369","58","0.0043903486523777305"
"vivid-ox-338","2024-02-22T08:58:39.000Z","101","-","32768","[784,15]","AdamW","0.054401036351919174","0.05056740157306194","0.052","27","0tyztean","finished","mattia-scardecchia","","","","2024-02-22T09:00:20.000Z","2024-02-22T09:00:20.000Z","","gnode04","","69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","https://github.com/MattiaSC01/HM/tree/69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode04","mnist-train","784","0.001","93","2.2.0","","9","512","0.015625","0.1","0.01614183575535813","0.04992233014975985","0.05133490435158213","0.05253586374844114","0.0560024562291801","0.0591996192621688","0.06497156076754133","0.07015035332491","0.07785833689073722","0.08440588073184092","0.092336503478388","0.0003641317804866396","0.0014136339579933664","0.0010727235915960064","0.00037996500040828534","0.00009829368527989414","0.0018513008459930809","0.0008632461870090752","0.0009616797954246872","0.001121954228053051","0.0007132852577613266","0.01494847638532519","0.05056740157306194","0.05112711557497581","0.05272253261258205","0.055460208406051","0.058889408906300865","0.06386161378274362","0.06979371358950932","0.0765856144328912","0.08372735728820165","0.0924238134175539","0","0.000003705076553721665","0.00005107183512403626","0.00002195914419978572","0.00035611343417047244","0.0005982822841149522","0.0010951411699063403","0.00030264478581583685","0.0010536807472523936","0.00036431204248426393","0.0061345126153901225","0.051003803871572016","0.0513377564959228","0.05198407806456089","0.05297657642513513","0.05473522692918777","0.05724427411332726","0.06045875065028668","0.06343181789852678","0.06729456409811974","0.07227931413799524","0.0009940365960276248","0.000812457480886831","0.0012174165772003236","0.0013540289247336004","0.001458686652634952","0.001252676065176851","0.001275912537504131","0.0013864476544296412","0.0019336921612871775","0.0021008673445962025","0.007122982684522869","0.05056740157306194","0.05081590265035629","0.05155304297804832","0.052827592380344866","0.05447659231722355","0.05683174589648843","0.05964393699541688","0.06279953792691231","0.06638405993580818","0.07100402992218732","0","0.0000705653192121906","0.0001862251082433167","0.00027184987895774535","0.00040689458618837983","0.0004092120083137786","0.00039759761138746097","0.000817150017152878","0.000946126817565508","0.0008872866282146786","0.003555773291736841","0.01614183575535813","0.0061345126153901225","0.00006097499499446712","0.01494847638532519","27","0.007122982684522869"
"cheerful-wish-337","2024-02-22T08:49:04.000Z","572","-","16384","[784,15]","SAM","0.04330234229564667","0.05249087046831846","0.05","129","d2oumfb7","finished","mattia-scardecchia","","","","2024-02-22T08:58:36.000Z","2024-02-22T08:58:36.000Z","","gnode04","","69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","https://github.com/MattiaSC01/HM/tree/69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode04","mnist-train","784","0.001","187","2.2.0","0.15","9","512","0.03125","0.1","0.014409635557482632","0.0484169313373665","0.04889973672106862","0.05075339010606209","0.05354317044839263","0.05633358269309005","0.06076034236078461","0.06560261532043417","0.0717168344805638","0.08001810281227033","0.08880391996353865","0.0012158089424121","0.000820276015433216","0.0009161340642145502","0.00010480029605626654","0.0007068664349797261","0.0010946730792166356","0.0016566244517951074","0.0003509563100657479","0.0012539184831754037","0.0007533630608724439","0.012491671368479729","0.05249087046831846","0.05286817035327355","0.054087807113925614","0.056116241961717606","0.05873371039827665","0.06290719006210566","0.06776240685333808","0.07370350509881973","0.08155524358153343","0.08960027247667313","0","0.000019842047600959416","0.00005988721581315362","0.0000446996924237387","0.00030323593341795204","0.0003568437980493268","0.0007104342154537637","0.0006179226891258987","0.0010032860974477848","0.0012981876339371156","0.005724867223761976","0.04880651663988829","0.04887477974407375","0.04982472192496061","0.05044983448460698","0.05158642395399511","0.0528410408180207","0.05420127031393349","0.05726871467195451","0.05887003201059997","0.062014552066102624","0.0009502157749452448","0.0006290973272677162","0.00096725469890488","0.000748745556558437","0.0014019489060869534","0.0012166016241390528","0.000953970927428193","0.0009327861723968151","0.0013808626042175155","0.0011389628587601432","0.0042885348945856175","0.05249087046831846","0.05262705311179161","0.053051972575485704","0.05382992485538125","0.05492146378383041","0.056223433651030066","0.05798052158206701","0.05990857966244221","0.06199099784716964","0.06476923609152437","0","0.000024707686401798697","0.00006128963189576633","0.00010915968813291314","0.00012644681687870978","0.00017890755057379756","0.0002591170815323239","0.0002467190402062867","0.0002904096641129404","0.0005724563320928721","0.008253153413534164","0.014409635557482632","0.005724867223761976","0.00006106570799602196","0.012491671368479729","129","0.0042885348945856175"
"glistening-ox-336","2024-02-22T08:44:59.000Z","242","-","16384","[784,15]","AdamW","0.05591488629579544","0.0514841303229332","0.05","59","pjo6pxo2","finished","mattia-scardecchia","","","","2024-02-22T08:49:01.000Z","2024-02-22T08:49:01.000Z","","gnode04","","69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","https://github.com/MattiaSC01/HM/tree/69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode04","mnist-train","784","0.001","187","2.2.0","","9","512","0.03125","0.1","0.015321651085590318","0.04979413809875647","0.05010327945152918","0.0507454761924843","0.05446335595722","0.0580748914120098","0.06427552768339713","0.06942659243941307","0.07744165975600481","0.08524249494075775","0.09398665558546782","0.00025002578702528665","0.0005436280311306751","0.0012895765820371055","0.00044469637210196704","0.0009437421892885312","0.00042624041348161417","0.0006923067980901463","0.0008145619955657938","0.0002992744578263614","0.00028820383393714103","0.01506492930154006","0.0514841303229332","0.052035115038355194","0.05353657590846221","0.056210226068894066","0.06009312501798073","0.06492150171349446","0.07067774298290412","0.07750646770000458","0.08540883536140124","0.09361687613030274","0","0.00008491898902174496","0.00016268045420898464","0.00005801243634118461","0.0002632136179355742","0.00028565822184521494","0.00007996844255935063","0.0003139647800496579","0.001168356768265137","0.0007599843925602577","0.007023394312709562","0.04898337093181908","0.04905269015580416","0.04919844153337181","0.051766505977138874","0.053427104372531176","0.05503290314227342","0.058426729729399086","0.06274027870967984","0.06683961339294911","0.06994593599811197","0.0007615504510682176","0.0010697950624099176","0.00097677968855646","0.001115573684888282","0.0007032465162086512","0.0011948210735713992","0.000703162229693831","0.0014036782392044006","0.001408088006514672","0.001431432494681308","0.00729575898498297","0.0514841303229332","0.05180207369849086","0.052471686899662015","0.053607254195958375","0.05570729495957494","0.05790152130648494","0.06098925704136491","0.06366147445514798","0.06770364977419377","0.07247055042535067","0","0.00006359288042503313","0.00009090394783631447","0.00017699372109252317","0.0003704323136516424","0.0004108675180142822","0.0005694911666609409","0.0004570341908907789","0.0011396846633436313","0.0014206483548009309","0.003674395615234971","0.015321651085590318","0.007023394312709562","0.0000632774390396662","0.01506492930154006","59","0.00729575898498297"
"floating-peony-335","2024-02-22T08:40:33.000Z","263","-","8192","[784,15]","SAM","0.04678953438997269","0.05898423120379448","0.05","140","gdpzsme5","finished","mattia-scardecchia","","","","2024-02-22T08:44:56.000Z","2024-02-22T08:44:56.000Z","","gnode04","","69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","https://github.com/MattiaSC01/HM/tree/69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode04","mnist-train","784","0.001","375","2.2.0","0.15","9","512","0.0625","0.1","0.01318572404173514","0.048601092460254826","0.048677300568670034","0.049600341357290745","0.053012368424485125","0.05566574369246761","0.058816430469354","0.0647153885414203","0.07213927277674277","0.07875053491443396","0.08561581031729777","0.0010335880464583524","0.0005238545364942738","0.0007367375521572993","0.000802494314463047","0.0010538382636334392","0.0018533368917526365","0.0014830153975464405","0.0004423263679740844","0.0009988304103321416","0.002039262836689218","0.012032643053680653","0.05898423120379448","0.0593749958400925","0.060425870741407074","0.062342697754502296","0.06514804406712453","0.06884435284882784","0.07335979739824931","0.07951438054442406","0.08655632908145587","0.09561804309487344","0","0.00006817891690835885","0.000052225354433922555","0.0000895917790014784","0.0001709826239369404","0.00024899085223077866","0.0002014909104916128","0.001022492012233996","0.001066312931758414","0.001107673578930869","0.005369104202836747","0.048686975799500945","0.04918091674335301","0.04931799131445587","0.0498138215392828","0.05039240228943527","0.05284463940188289","0.053995661344379185","0.055460950313135984","0.05843737996183336","0.060614048643037675","0.0011069798871118646","0.00098739997234496","0.0012117123929155712","0.000899922269774331","0.0010821303970555592","0.0007969841662904511","0.0005758593712790389","0.00119717322859191","0.0008554971224106981","0.0009229290568812556","0.003740964205935587","0.05898423120379448","0.059128446597605945","0.05949779283255339","0.06012466009706259","0.06105301324278116","0.06229059081524611","0.06378359543159604","0.06548394849523902","0.06744531709700823","0.06946035828441381","0","0.000040176919142673806","0.00007292337834001015","0.00012507827233818205","0.0001332344339142214","0.00005051584785565901","0.00036265411606603446","0.0002314351641576587","0.00032819707200366493","0.0004708991593283002","0.006739276926964521","0.01318572404173514","0.005369104202836747","0.00006005326213198714","0.012032643053680653","140","0.003740964205935587"
"vermilion-fireworks-334","2024-02-22T08:37:24.000Z","186","-","8192","[784,15]","AdamW","0.05000661313533783","0.05822496768087149","0.05","87","v5vap4bh","finished","mattia-scardecchia","","","","2024-02-22T08:40:30.000Z","2024-02-22T08:40:30.000Z","","gnode04","","69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","https://github.com/MattiaSC01/HM/tree/69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode04","mnist-train","784","0.001","375","2.2.0","","9","512","0.0625","0.1","0.016276988278453544","0.04849189892411232","0.04848233905310432","0.04998049062366287","0.05380481046934923","0.05898104142397642","0.06320564992104967","0.07018830999732018","0.07696284477909406","0.08708909091850121","0.0959891431654493","0.0005563580770451778","0.000709265492873818","0.0006258633701034968","0.0012811376734828195","0.0002912005618152137","0.0007273068475106589","0.00021780616592560116","0.0006269259703860551","0.0015004170655729062","0.00013475987872021316","0.015638692956417802","0.05822496768087149","0.058777922143538795","0.06040587710837523","0.06312069141616423","0.06706833746284246","0.07198781023422877","0.07780518320699532","0.08533329765001933","0.09297416483362517","0.10293835463623206","0","0.00002676808481839478","0.00014274786568665155","0.000297968045986125","0.00032561671770241576","0.00029669318525124387","0.0003670674978903561","0.00027204512751836056","0.0005327957280659639","0.001272847788730991","0.006585062439553438","0.04834721465595067","0.04839710034430027","0.049372496409341694","0.05030999109148979","0.05218293131329119","0.05440766643732786","0.057827149704098704","0.061592180468142035","0.06517163589596749","0.07055677743628622","0.0005180226106001898","0.0007577707967382943","0.0006564344119780432","0.0010560982279268585","0.0007481338957192856","0.0013763075934813747","0.0007409597469476783","0.0011572083074217231","0.0007463915734362483","0.0023342163170633153","0.007148674717172981","0.05822496768087149","0.058534763660281895","0.05914338929578662","0.06039068838581443","0.06204889016225934","0.06467280983924865","0.06721565602347254","0.07024142108857631","0.07441658545285464","0.07884725239127874","0","0.00008850999126834111","0.00009128504396896198","0.00012000614249534743","0.00027343575175859666","0.00039101926702098344","0.0006703249203514946","0.0010299210123260083","0.0011323554665532965","0.00174210452933985","0.002906755544245243","0.016276988278453544","0.006585062439553438","0.00006422059959731996","0.015638692956417802","87","0.007148674717172981"
"sweet-rat-333","2024-02-22T08:35:31.000Z","110","-","4096","[784,15]","SAM","0.05377897992730141","0.06955822370946407","0.056","129","847pmjul","finished","mattia-scardecchia","","","","2024-02-22T08:37:21.000Z","2024-02-22T08:37:21.000Z","","gnode04","","69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","https://github.com/MattiaSC01/HM/tree/69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode04","mnist-train","784","0.001","750","2.2.0","0.15","9","512","0.125","0.1","0.012894596376766753","0.05474468491350611","0.056838661121825375","0.05646564811468125","0.05877451288203398","0.06080122835313281","0.06517010647803545","0.06905778404325247","0.07503986979524295","0.08105046674609184","0.08932393851379554","0.0008120525678153231","0.0001638272413843148","0.00029453456182227603","0.000997178940742024","0.000651340070617164","0.0007589774809311359","0.0009975179080095769","0.0014895726327047885","0.0008228874760152238","0.0012747885005717123","0.010338268304864562","0.06955822370946407","0.06985044789810975","0.07087604515254498","0.07243487859765689","0.07494542934000492","0.0780669537683328","0.08206126963098843","0.08727592478195827","0.09345076171060404","0.10044498555362225","0","0.00003554855541087329","0.00007388868846626328","0.00022821914980587256","0.00006212628812578169","0.00033002769918800116","0.00047673037709999985","0.00009263381531575116","0.0003354980530095032","0.00032525488070696176","0.0038202284742146694","0.055534367077052595","0.05579320318065584","0.055825196439400315","0.056248021684587","0.05725604160688817","0.057976487930864094","0.0604886116925627","0.061719486862421034","0.06381122418679297","0.06581964674405753","0.00047846508559552066","0.0010895092702998565","0.000904397457709466","0.00093246147503841","0.0009720329085146516","0.0006698982551768913","0.0013676846734989594","0.0010995311013813202","0.0011966473027138643","0.000741584086601076","0.003231044448912132","0.06955822370946407","0.06965777520090341","0.07003106065094471","0.070567986369133","0.07138805966824294","0.07241117861121893","0.07354275789111853","0.07517914213240147","0.07678959742188454","0.07876689992845058","0","0.00004117109851520983","0.00009270122074548964","0.0001627918002647499","0.00014909303656503945","0.0001879965776404989","0.00029848235051155466","0.00040774635198510606","0.00045075495634838166","0.0002821000303181553","0.004032073076814413","0.012894596376766753","0.0038202284742146694","0.0000560824410058558","0.010338268304864562","129","0.003231044448912132"
"incandescent-fireworks-332","2024-02-22T08:34:19.000Z","69","-","4096","[784,15]","AdamW","0.0580781064927578","0.06926305778324604","0.056","83","p3172du2","finished","mattia-scardecchia","","","","2024-02-22T08:35:28.000Z","2024-02-22T08:35:28.000Z","","gnode04","","69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","https://github.com/MattiaSC01/HM/tree/69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode04","mnist-train","784","0.001","750","2.2.0","","9","512","0.125","0.1","0.024190260190516705","0.05283562435458104","0.05554628496368726","0.058254366274923086","0.0620913856352369","0.06608967436477542","0.07380477183808883","0.08231527513513963","0.09176618698984385","0.105317044382294","0.1164832478389144","0.0005980210945463237","0.0000765707486274946","0.0003693489074196046","0.0009555882693157996","0.0004895610093959915","0.0006549877713157903","0.0006416568113055224","0.0009400519036878468","0.00035312320489695086","0.0010997070515087592","0.019665172634025424","0.06926305778324604","0.06985530319313209","0.07194378226995468","0.07517816250522931","0.08011586032807827","0.0861242413520813","0.09427394966284434","0.1029029084990422","0.11442686927815278","0.12519816930095354","0","0.00004530370510049728","0.00006861724836803306","0.00010754002894743366","0.0004029827281141912","0.0001444483338118217","0.0002656460044258147","0.0011884814811147031","0.0005871662949702535","0.00034393795241265454","0.008278105575591332","0.05443197921849787","0.05503123407252133","0.05558585692197084","0.05714317355304956","0.05939484713599086","0.06266880491748453","0.06538669923320413","0.06921346876770258","0.0729950500652194","0.07956096455454827","0.000962628643181858","0.0011360417063095624","0.0007537489898887399","0.0006916461932264126","0.0006897769672330162","0.000938702667128122","0.0011750189298004698","0.001459997348920633","0.001804622866841206","0.0021862997569673994","0.007898050397634512","0.06926305778324604","0.06949788331985474","0.07029401175677777","0.07175371572375297","0.07355746105313302","0.07646431382745504","0.07901535090059042","0.08314729575067759","0.08653911110013723","0.09207888059318066","0","0.00005923543498121871","0.00017309192650190105","0.0004363095554985873","0.0005819576510279665","0.0005997856611686841","0.0008671445324872484","0.0013040509266240312","0.001422038812913617","0.002085136995576148","0.0012769832974299788","0.024190260190516705","0.008278105575591332","0.00006828853656770661","0.019665172634025424","83","0.007898050397634512"
"red-horse-331","2024-02-22T08:32:14.000Z","123","-","2048","[784,15]","SAM","0.04673982039093971","0.07456056587398052","0.045","265","x0550r42","finished","mattia-scardecchia","","","","2024-02-22T08:34:17.000Z","2024-02-22T08:34:17.000Z","","gnode04","","69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","https://github.com/MattiaSC01/HM/tree/69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode04","mnist-train","784","0.001","1500","2.2.0","0.15","9","512","0.25","0.1","0.014198546422024574","0.0441022504431506","0.04405910506223639","0.04591355752199888","0.04819616721943021","0.05190841201692819","0.05620430021857222","0.06148945136616627","0.06770173739641905","0.07524082902818918","0.08426007876793544","0.0003827350963762279","0.0005204779259240087","0.000922262768679894","0.000200833827328541","0.0007120668451813209","0.0009736122997677192","0.00037979308189550504","0.0005240287534098148","0.0009159916579393928","0.0019499634051597776","0.011670794213811564","0.07456056587398052","0.07492013896505038","0.07598179702957471","0.07787437674899896","0.08051055731872718","0.08405806000034015","0.08877268123130004","0.09432335570454596","0.10182578985889752","0.10948627814650536","0","0.000030224303465686578","0.00007703755481721062","0.00015286479833139034","0.00005941346484412488","0.0003067097430633905","0.00023796113871237575","0.0005259800303973064","0.00013112416220724914","0.0006766145761726777","0.005877536912448703","0.04396775155328214","0.044023961294442415","0.045100741926580666","0.04557350487448275","0.04704380808398127","0.04902273910120129","0.05115434704348445","0.0533244963735342","0.056106626009568575","0.059175821207463744","0.0005582126521204323","0.0006929697665833539","0.0004802646274025409","0.0006095080829632267","0.0004520188159902433","0.0006060170670723017","0.0007346610768919566","0.0007260073434330329","0.0010770632330150934","0.0005309591769282812","0.004211150389164683","0.07456056587398052","0.07472766898572444","0.07514148503541947","0.07578484863042831","0.07683775629848241","0.07837190311402083","0.07980819325894117","0.08190290648490191","0.08401572443544865","0.08656611051410437","0","0.00003655701638930087","0.00009642552812871962","0.00008810867412021777","0.00026672573333071033","0.00019448122071642591","0.0003959570221555681","0.00036934619002981534","0.0005458081747372538","0.0007268795731031061","0.004101501312106848","0.014198546422024574","0.005877536912448703","0.000058983510825783014","0.011670794213811564","265","0.004211150389164683"
"glistening-pig-330","2024-02-22T08:30:48.000Z","84","-","2048","[784,15]","AdamW","0.04402679204940796","0.07775333896279335","0.045","172","30rdzcnw","finished","mattia-scardecchia","","","","2024-02-22T08:32:12.000Z","2024-02-22T08:32:12.000Z","","gnode04","","69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","https://github.com/MattiaSC01/HM/tree/69a78e2769fb4731b55f148cbbe3c2f245f7a6a5","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode04","mnist-train","784","0.001","1500","2.2.0","","9","512","0.25","0.1","0.02590622959348063","0.04358035574356715","0.043918730691075325","0.04740398951495687","0.05284780698517958","0.058359405336280666","0.06720221911867459","0.07716325111687183","0.08996747775624196","0.10264984611421824","0.11560173922528824","0.0003328890093278839","0.00039453456222866937","0.00045783228941896","0.0006928222634887318","0.0004086182168747125","0.0006728374479412261","0.0006551635331530135","0.0012545758476789882","0.000843174488898316","0.0015271394639959624","0.02194954591492812","0.07775333896279335","0.0785538690785567","0.08079649942616622","0.08482357797523339","0.08998710103332996","0.0968257716546456","0.10546283423900604","0.1157031822949648","0.12820477969944477","0.13891789441307387","0","0.00005357901155784065","0.0002447023837719975","0.00018695598513298304","0.0006606767111326391","0.00020903405072493543","0.0005468884849019223","0.001215205146034325","0.0004780727234186601","0.0009587352643950636","0.012314746221527464","0.04354771422222257","0.04398206761106849","0.04517611521296203","0.047345099272206426","0.05036289542913437","0.0544408087618649","0.05925540574826301","0.06462896107695996","0.07124887919053435","0.07907268824055791","0.0006997576304507879","0.0004310927569497577","0.0007298424167580862","0.0005664429616014425","0.0008735909260710539","0.0008743876445230749","0.001373854426179562","0.0016202635738809654","0.0016876561610886733","0.0023928234567130364","0.010830840617418278","0.07775333896279335","0.0780585989356041","0.07935185506939887","0.0811006298288703","0.08376905359327794","0.08766652345657348","0.09098708871752025","0.09643370546400548","0.1026688165962696","0.10805218517780305","0","0.00007753080964984585","0.00020847757046420868","0.000293513895386263","0.0006371710991187978","0.0007125330428479431","0.0007391490243064917","0.0010710191508789104","0.0019456573961070549","0.0015339813259664097","0.0011318831238895657","0.02590622959348063","0.012314746221527464","0.00006973779818508774","0.02194954591492812","172","0.010830840617418278"
