"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","activation","adaptive","amsgrad","batch_size","betas","capturable","compile_model","cpu","criterion","cuda_version","dataset_dir","device","differentiable","eps","hidden_layers","hostname","id","input_dim","lr","max_epochs","maximize","optimizer","pytorch_version","rho","seed","target_loss","test_size","train_size","weight_decay","train_set_percentage_for_flatness","denoising/train/avg_diff","denoising/train/mean_0.000","denoising/train/mean_0.111","denoising/train/mean_0.222","denoising/train/mean_0.333","denoising/train/mean_0.444","denoising/train/mean_0.556","denoising/train/mean_0.667","denoising/train/mean_0.778","denoising/train/mean_0.889","denoising/train/mean_1.000","denoising/train/std_0.000","denoising/train/std_0.111","denoising/train/std_0.222","denoising/train/std_0.333","denoising/train/std_0.444","denoising/train/std_0.556","denoising/train/std_0.667","denoising/train/std_0.778","denoising/train/std_0.889","denoising/train/std_1.000","denoising/val/avg_diff","denoising/val/mean_0.000","denoising/val/mean_0.111","denoising/val/mean_0.222","denoising/val/mean_0.333","denoising/val/mean_0.444","denoising/val/mean_0.556","denoising/val/mean_0.667","denoising/val/mean_0.778","denoising/val/mean_0.889","denoising/val/mean_1.000","denoising/val/std_0.000","denoising/val/std_0.111","denoising/val/std_0.222","denoising/val/std_0.333","denoising/val/std_0.444","denoising/val/std_0.556","denoising/val/std_0.667","denoising/val/std_0.778","denoising/val/std_0.889","denoising/val/std_1.000","flatness/train/avg_diff","flatness/train/mean_0.000","flatness/train/mean_0.017","flatness/train/mean_0.033","flatness/train/mean_0.050","flatness/train/mean_0.067","flatness/train/mean_0.083","flatness/train/mean_0.100","flatness/train/mean_0.117","flatness/train/mean_0.133","flatness/train/mean_0.150","flatness/train/std_0.000","flatness/train/std_0.017","flatness/train/std_0.033","flatness/train/std_0.050","flatness/train/std_0.067","flatness/train/std_0.083","flatness/train/std_0.100","flatness/train/std_0.117","flatness/train/std_0.133","flatness/train/std_0.150","flatness/val/avg_diff","flatness/val/mean_0.000","flatness/val/mean_0.017","flatness/val/mean_0.033","flatness/val/mean_0.050","flatness/val/mean_0.067","flatness/val/mean_0.083","flatness/val/mean_0.100","flatness/val/mean_0.117","flatness/val/mean_0.133","flatness/val/mean_0.150","flatness/val/std_0.000","flatness/val/std_0.017","flatness/val/std_0.033","flatness/val/std_0.050","flatness/val/std_0.067","flatness/val/std_0.083","flatness/val/std_0.100","flatness/val/std_0.117","flatness/val/std_0.133","flatness/val/std_0.150","train/bias_norm","train/denoising_avg_diff","train/epoch","train/flatness_avg_diff","train/loss","train/weight_norm","val/denoising_avg_diff","val/epoch","val/flatness_avg_diff","val/loss"
"iconic-bird-282","finished","-","mattia-scardecchia","","2024-02-27T11:36:39.000Z","7101","","em0uhy3l","","","2024-02-27T13:35:00.000Z","2024-02-27T13:35:00.000Z","gnode02","","0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","https://github.com/MattiaSC01/HM/tree/0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","1","NVIDIA A100 80GB PCIe","ReLU","false","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/MNIST","cuda","false","1e-8","[784,15]","gnode02","mnist-train","784","0.001","187","false","SAM","2.2.0","0.15","9","0.05","40000","16384","0.1","1","0.013357501244172454","0.04912253808288369","0.04953416619779697","0.05078662106825505","0.05295673262541337","0.056043602497084066","0.060238006568397395","0.06551815412725166","0.07201822392138031","0.07979398894046123","0.08878835909611855","1.4551915228366852e-11","0.000004578578143492602","0.00001916398764943714","0.000011920086527527693","0.00003631913096740779","0.00004682292096347992","0.00011424170781014504","0.00007422662928368577","0.00004117344078637408","0.00010082122308513198","0.012713631739219022","0.05562048777937889","0.056009517361720405","0.05718254670500755","0.059189690897862114","0.062143489718437195","0.0660558467109998","0.07115335762500763","0.07738867650429408","0.08493719498316447","0.09366038690010708","0","0.000006016737492745433","0.000004911017858743571","0.000039454249749182034","0.000016444955097396737","0.000040313109696702546","0.000011118573094520556","0.00009120966725209818","0.00005579532441135751","0.00010340977326016748","0.0045329058579227435","0.049122538046503905","0.04927828004438197","0.0497714082011953","0.05054920282273088","0.05161058245867025","0.05305101786216256","0.05489697517186869","0.05687049377738731","0.05922511145763565","0.062178827819298024","1.6708319550428458e-10","0.000028972452387129364","0.00004020264579141636","0.00007452775546584384","0.00004350860538053089","0.00021059411551685","0.00012457430139222185","0.0002902439484003594","0.0002923135681605823","0.0002750748283443277","0.004306274652481082","0.05562048777937889","0.055762993171811104","0.05621740035712719","0.05696261823177338","0.0579873900860548","0.05937443487346172","0.06095435544848442","0.06295757070183754","0.06534045189619064","0.06808992177248001","0","0.000026296128519308064","0.00005300132805604579","0.00009387951231959345","0.00012207567933867995","0.0001069812898613602","0.00022427813589199463","0.0001926049002781708","0.0003263515627294608","0.0004429831571942577","0.00825949851423502","0.013357501244172454","149","0.0045329058579227435","0.05144718661904335","0.00006177937757456675","0.012713631739219022","149","0.004306274652481082","0.05562048777937889"
"major-glade-281","finished","-","mattia-scardecchia","","2024-02-27T10:46:12.000Z","3025","","4ilthar1","","","2024-02-27T11:36:37.000Z","2024-02-27T11:36:37.000Z","gnode02","","0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","https://github.com/MattiaSC01/HM/tree/0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","1","NVIDIA A100 80GB PCIe","ReLU","","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/MNIST","cuda","false","1e-8","[784,15]","gnode02","mnist-train","784","0.001","187","false","AdamW","2.2.0","","9","0.05","40000","16384","0.1","1","0.01609994699150169","0.048933569312794134","0.04952168551487072","0.0512667397755043","0.05418280836602207","0.05825201789654481","0.06331701520442341","0.06948093935109985","0.07658785896880242","0.08482513690250926","0.09396739204142553","3.850074879395238e-11","0.000005911289210967257","0.000003723485717781981","0.00001723355711435988","0.000040821517300199856","0.000121915604337035","0.00006748797705862147","0.00012030070751635896","0.00007511982413416865","0.0002556116210926489","0.01545237811903158","0.055250849574804306","0.05580684418479601","0.05746731162071228","0.060228381305933","0.0640648901462555","0.06895521779855092","0.07495813071727753","0.08184539029995601","0.08980224281549454","0.09865301847457886","0","0.0000034697401302562665","0.0000029859892367229983","0.000015998893609883676","0.0000027901504188525085","0.000030461520257964387","0.000035726247159822024","0.000043388193881888495","0.00006149256296849695","0.00010605771937749916","0.00765556436119369","0.04893356929533184","0.049220666603650896","0.0499868703118409","0.051332874965737574","0.05323813019494992","0.05558833104296355","0.05830850202328293","0.06186902044864837","0.06608757840003818","0.07132579185272334","1.1014260801397399e-10","0.00006543066442725469","0.00010984703184529404","0.000331995204881607","0.0002176437596680032","0.0004089502084619235","0.0006202914427681303","0.000690976820492492","0.001327588656372252","0.0012988587351093915","0.007330902740359302","0.055250849574804306","0.055524992197752","0.0562929555773735","0.05761525109410286","0.05937403626739979","0.06173278875648976","0.06430114209651946","0.06793347373604774","0.07151119709014893","0.07628083676099777","0","0.00007660341651017146","0.00010841429061766774","0.0001967726230051859","0.0003079984651318035","0.0004259010536500888","0.0006854114893149698","0.0009743779284035786","0.0008750490847094204","0.0008778588449729868","0.0038957842625677586","0.01609994699150169","64","0.00765556436119369","0.050257496535778046","0.00006375850352924317","0.01545237811903158","64","0.007330902740359302","0.055250849574804306"
"smooth-galaxy-280","finished","-","mattia-scardecchia","","2024-02-27T09:54:18.000Z","3111","","d7bag40l","","","2024-02-27T10:46:09.000Z","2024-02-27T10:46:09.000Z","gnode02","","0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","https://github.com/MattiaSC01/HM/tree/0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","1","NVIDIA A100 80GB PCIe","ReLU","false","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/MNIST","cuda","false","1e-8","[784,15]","gnode02","mnist-train","784","0.001","375","false","SAM","2.2.0","0.15","9","0.05","40000","8192","0.1","1","0.014110778926018005","0.0490538300461291","0.049500029504997656","0.0508632488490548","0.053189661276216306","0.056544885931847","0.06092981501327207","0.06648795003032622","0.07334715739125386","0.08128381636925042","0.09044569550314918","3.3606208697288986e-11","0.0000058675192595179046","0.000008562882135352292","0.000023680210282209617","0.00001677732272464243","0.00011589165177191422","0.00002783896264811413","0.000029015272677140323","0.00010880625649774664","0.00020390114612704895","0.01297579668462276","0.06137681007385254","0.0617737832168738","0.06299742062886556","0.06506490459044774","0.06809257715940475","0.07210566600163777","0.07728769133488338","0.08361079543828964","0.09121064096689224","0.1000057781736056","0","0.000005809423103523554","0.000004884867546790097","0.000008013910203034541","0.00003286309721341668","0.00001884188098830139","0.000059872155629989905","0.0000641320270687635","0.00006799617137471291","0.00009867126345781224","0.004509860260586716","0.04905383009463549","0.049210867643705566","0.04972271605511196","0.050478239011135885","0.05161879692750517","0.05291939638846088","0.05490193493606057","0.056684582686284554","0.05923917519394308","0.06180736810783856","2.4809486257037344e-10","0.00003065954239885702","0.00005943634806591441","0.00006027529956338857","0.00009867471705328408","0.0001301267243666243","0.0003393899403134076","0.000180175588637521","0.00041128928232483735","0.0003927670517942695","0.004050824455916868","0.06137681007385254","0.061524854600429536","0.06190927065908909","0.06257670521736144","0.06368729770183564","0.06492336466908455","0.06647655740380287","0.06825627759099007","0.07064720615744591","0.07289800122380256","0","0.00002832780942105086","0.0000527121157621693","0.00009182103076567956","0.00007412986816423818","0.00014286009730063077","0.000139723118396341","0.0002552480716359611","0.0003059052576397256","0.0004164639782756478","0.007325374521315098","0.014110778926018005","167","0.004509860260586716","0.05109691992402077","0.00006075390774640255","0.01297579668462276","167","0.004050824455916868","0.06137681007385254"
"legendary-cloud-279","finished","-","mattia-scardecchia","","2024-02-27T09:21:39.000Z","1956","","zzl49ajz","","","2024-02-27T09:54:15.000Z","2024-02-27T09:54:15.000Z","gnode02","","0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","https://github.com/MattiaSC01/HM/tree/0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","1","NVIDIA A100 80GB PCIe","ReLU","","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/MNIST","cuda","false","1e-8","[784,15]","gnode02","mnist-train","784","0.001","375","false","AdamW","2.2.0","","9","0.05","40000","8192","0.1","1","0.017143511490818733","0.0488208452394853","0.04945043137801501","0.05131343640581084","0.05439013888826594","0.058702242463671915","0.06416399095905945","0.07057431223802269","0.07832475578955685","0.08707170747220516","0.09683170695401108","1.654913853585408e-10","0.000012226727429134982","0.000025882309874757338","0.00001768899294490137","0.000026719409235610757","0.00003619786835607275","0.00008152543994377546","0.00010860555900751136","0.00020070596692367825","0.00012122413991505764","0.015707500403126073","0.0621301494538784","0.06267386178175609","0.0643280918399493","0.06708430250485738","0.07094935327768326","0.07592691232760747","0.08199003090461095","0.0892047608892123","0.09735583017269772","0.106733205417792","0","0.000004672389326173626","0.000017734379486382517","0.000012366887299720174","0.000022928472703891544","0.000050811730273934306","0.000032379377515426386","0.00011195327400867632","0.000051197979280838655","0.000067252934876269","0.00818002150190296","0.04882084504934028","0.04907170507067349","0.049951679562218486","0.05139133245684206","0.053372017032234","0.05581736053864006","0.05943797809595708","0.0629905225156108","0.06747124516114127","0.07168397892382927","1.3567921501465674e-10","0.000091602476175929","0.00016048352490778074","0.0001490848415340245","0.00026002973132053847","0.0005683882151250858","0.0007167446708914223","0.0009117405682643124","0.001209088010280965","0.0014657970119198464","0.007468341998755928","0.0621301494538784","0.06242199875414371","0.06312588602304459","0.06470092833042144","0.06627369076013565","0.06863931939005852","0.07121333032846451","0.07529774382710457","0.07819080948829651","0.08399105817079544","0","0.00007638661268796679","0.00021921478025756452","0.000196730063406294","0.0003131917813744295","0.0004926892739150855","0.00042001140493973347","0.000917814229205014","0.000706233419720259","0.0010773491592141222","0.0031919570174068213","0.017143511490818733","103","0.00818002150190296","0.05145445093512535","0.00006482809840235859","0.015707500403126073","103","0.007468341998755928","0.0621301494538784"
"jolly-dust-278","finished","-","mattia-scardecchia","","2024-02-27T09:05:46.000Z","951","","51gjwn3l","","","2024-02-27T09:21:37.000Z","2024-02-27T09:21:37.000Z","gnode02","","0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","https://github.com/MattiaSC01/HM/tree/0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","1","NVIDIA A100 80GB PCIe","ReLU","false","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/MNIST","cuda","false","1e-8","[784,15]","gnode02","mnist-train","784","0.001","750","false","SAM","2.2.0","0.15","9","0.056","40000","4096","0.1","1","0.012719971882567432","0.054277509819561","0.05469569323273996","0.05590542551362887","0.05803449620725587","0.06092385039664805","0.06502912257565185","0.07002483201601233","0.07598322839476168","0.08322836058990409","0.09187230040940146","1.8711145115459331e-10","8.062049534017146e-7","0.000010735119706250468","0.00004825026253699477","0.00001835932254303001","0.00009951526206833565","0.00005213427650332164","0.00025214614415063107","0.00016052909605749556","0.0001976710151851015","0.011585798114538193","0.07200087606906891","0.07235201199849446","0.07344147314627965","0.07530434926350911","0.07797682285308838","0.08155201375484467","0.08611282706260681","0.09188444912433624","0.09861035645008089","0.1066315621137619","0","0.000003617871315087832","0.000006242258690149131","0.00001832821373487668","0.000014121515675425822","0.000020367445464508932","0.00004744813148939138","0.00003005903200640401","0.00016126839375524965","0.00016217953811315227","0.004146120005170818","0.05427750931703486","0.05441883715102449","0.054846804140834135","0.05564093568827957","0.056625891412841155","0.05795392255531624","0.05951577082742006","0.06143881807802245","0.06347092011710628","0.06604688294464722","3.2588204711414505e-10","0.000015547698691376845","0.00005859192482563237","0.00008108509139719367","0.000123548050315129","0.00018960913662577664","0.00031488284963509595","0.0002781207198124614","0.00019823975039727577","0.0003738348785129884","0.0035699696838855655","0.07200087606906891","0.07212539538741111","0.0724805898964405","0.07315959185361862","0.07393163293600083","0.0751903772354126","0.07660865858197212","0.07800581380724907","0.07993638142943382","0.08226914033293724","0","0.000028430052720202102","0.000026437525623166592","0.00007900015090746336","0.00008956508752469702","0.0001309574713431103","0.0000901019931392242","0.0002588805759485798","0.0002984494880190814","0.00027686139793170293","0.004451713524758816","0.012719971882567432","145","0.004146120005170818","0.060535263270139694","0.00005590025466517545","0.011585798114538193","145","0.0035699696838855655","0.07200087606906891"
"quiet-sun-277","finished","-","mattia-scardecchia","","2024-02-27T08:54:04.000Z","699","","rjlvpy1i","","","2024-02-27T09:05:43.000Z","2024-02-27T09:05:43.000Z","gnode02","","0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","https://github.com/MattiaSC01/HM/tree/0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","1","NVIDIA A100 80GB PCIe","ReLU","","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/MNIST","cuda","false","1e-8","[784,15]","gnode02","mnist-train","784","0.001","750","false","AdamW","2.2.0","","9","0.056","40000","4096","0.1","1","0.02089796024374664","0.05473808076931164","0.05553632757316033","0.057864914512416966","0.06157138113242885","0.06678667641244829","0.0733945273483793","0.0814061372851332","0.09071586226734024","0.10114881854193906","0.11319767904933542","5.552656956814146e-10","0.00000640632246966185","0.00002818077262745682","0.000030677323952831064","0.00009375300917593412","0.00004679372185173918","0.0000971793367101666","0.00012082190623276304","0.00043073854096255465","0.0004453702901740774","0.01845606664816539","0.07420795410871506","0.07484376430511475","0.07679848869641621","0.08001639197270076","0.08461900055408478","0.09039713442325592","0.09759120643138884","0.10595010469357172","0.11563321202993392","0.12658295035362244","0","0.000006441530003724807","0.000022833337600517427","0.000014774150645043812","0.00005766282113498739","0.00004141279008017461","0.00006688506960429381","0.000006343977241099534","0.00020875179236449752","0.00002841985465468149","0.008697084198938679","0.05473808073438704","0.05501248895307072","0.05589670338667929","0.057560419669607656","0.05957684758468531","0.06264812207664364","0.06567090114112943","0.06968339824816212","0.07403693711385131","0.0795277519384399","2.867379722792526e-10","0.00012274494248597294","0.0001554279959232549","0.0002487647237410492","0.00031377566048166","0.0005957375289482592","0.0007316192829545759","0.001430448015702928","0.0012858355598290392","0.001604225000932706","0.007825054600834852","0.07420795410871506","0.07447485700249672","0.07536411434412002","0.07672257795929908","0.07860879749059677","0.08079308718442917","0.0840648353099823","0.08785029873251915","0.09103454500436783","0.09720901995897294","0","0.00008295468015802526","0.00016230869403969806","0.00029220893873955844","0.0004551101956541044","0.0003786713518693083","0.0007931073988675243","0.0008518061954634381","0.0008901497125956422","0.0024622546860573347","0.001510299043729901","0.02089796024374664","95","0.008697084198938679","0.05292696878314018","0.00006705236592097208","0.01845606664816539","95","0.007825054600834852","0.07420795410871506"
"likely-glitter-276","finished","-","mattia-scardecchia","","2024-02-27T08:38:31.000Z","931","","ikqnqdqk","","","2024-02-27T08:54:02.000Z","2024-02-27T08:54:02.000Z","gnode02","","0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","https://github.com/MattiaSC01/HM/tree/0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","1","NVIDIA A100 80GB PCIe","ReLU","false","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/MNIST","cuda","false","1e-8","[784,15]","gnode02","mnist-train","784","0.001","1500","false","SAM","2.2.0","0.15","9","0.045","40000","2048","0.1","1","0.014868448810496685","0.04317544548151394","0.04365096505110463","0.0450513093577077","0.04748497103961805","0.050967031119701765","0.055607289425097406","0.06158741687734922","0.06841252398832391","0.07732219567211966","0.08717979529562096","4.0883717409850174e-10","0.000007577534342034545","0.000029566607453723263","0.00006831580574122534","0.00004063361594577972","0.00003259095883254424","0.0002214313761959047","0.00008025040767414303","0.0003614808292181846","0.0007997280401287567","0.012631496787071234","0.08123550564050674","0.08161366979281108","0.08276062458753586","0.08473904430866241","0.08760849634806316","0.09153108298778534","0.09654310594002406","0.1028616726398468","0.1104055071870486","0.11937131484349568","0","7.081710555651511e-7","0.000007989096755818322","0.000014989229440754077","0.000022846440143089653","0.00007685658828769725","0.0000181937264195128","0.00008353278934816261","0.00003661165295832701","0.00020441098798254493","0.006165950507856906","0.043175444996450096","0.04338696415070444","0.04402467292966321","0.04508284147595987","0.046675279503688216","0.04857441007625311","0.050955330801662056","0.053780363383702935","0.057031402306165546","0.06072724600089714","3.609083600213882e-10","0.000019946898321300236","0.00006469344190153929","0.00006979071233442806","0.00015640465974765656","0.0001475016105606364","0.0003609685985784006","0.0003714808361141103","0.00031469278894231896","0.0006229787007739309","0.004873883798718448","0.08123550564050674","0.0813928909599781","0.08187736719846725","0.08280550092458724","0.08395330011844634","0.08553760275244712","0.08731856271624565","0.08955354988574982","0.09236891940236092","0.09505069479346276","0","0.000023986535929066527","0.00008680675910649879","0.0000937455791357866","0.00011867681661557404","0.00026668087210111917","0.00021419745133022505","0.00033389142249218295","0.00032276977169126984","0.0004411343221339445","0.004512337502092123","0.014868448810496685","292","0.006165950507856906","0.04465211182832718","0.00005981334834359586","0.012631496787071234","292","0.004873883798718448","0.08123550564050674"
"dauntless-grass-275","finished","-","mattia-scardecchia","","2024-02-27T08:28:21.000Z","607","","xnidgcdm","","","2024-02-27T08:38:28.000Z","2024-02-27T08:38:28.000Z","gnode02","","0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","https://github.com/MattiaSC01/HM/tree/0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","1","NVIDIA A100 80GB PCIe","ReLU","","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/MNIST","cuda","false","1e-8","[784,15]","gnode02","mnist-train","784","0.001","1500","false","AdamW","2.2.0","","9","0.045","40000","2048","0.1","1","0.026881523259604967","0.04326628524965296","0.04432822356466204","0.04737987454670171","0.05228625854942947","0.0592124923520411","0.06758266563216846","0.07781660665447514","0.08958845880503456","0.10286817839369178","0.1171490374642114","4.846756345280756e-10","0.000012607756171277664","0.00005424761616859302","0.0000514321482687609","0.00005413077867027066","0.00021465345348244087","0.00032174812172235345","0.000245338801884472","0.0003086535898845838","0.00036207573978333263","0.021509617567062374","0.08622924238443375","0.08696168164412181","0.08920352657636006","0.09292351206143697","0.09819215287764868","0.10494915892680486","0.11337048063675564","0.12320449948310852","0.1346841404835383","0.14767020444075266","0","0.000009835122918098985","0.000012669320345743686","0.00002875550624200001","0.000021908825083233443","0.00005226572694495475","0.0001713729722128496","0.00003648819671411754","0.00013810806045340293","0.0000754057833566389","0.01321409179712646","0.043266285327263176","0.043732295534573494","0.04518269882537425","0.04749593602027744","0.050830989133100954","0.055398119206074625","0.05971219452330843","0.06636786288581789","0.07238322328776121","0.08043417115695775","3.3381415480758007e-10","0.00007331416710787053","0.00015181674254626917","0.0003282436836397092","0.00047490286184281264","0.0008755381297852393","0.0008706202489795181","0.0016778539330817024","0.0015249215885538045","0.0014766467892490213","0.01138970881700517","0.08622924238443375","0.0866172656416893","0.08776665106415749","0.08970842212438583","0.09231344535946846","0.09624372571706773","0.10046741664409638","0.10647214874625206","0.11142518669366835","0.1189460076391697","0","0.00006582739306951076","0.00014950075549271025","0.0003408884711695175","0.00044468814014850104","0.0007887003306657405","0.0005232112846382525","0.0011074627360077116","0.0008641222754848636","0.002517358147738882","0.001211731694638729","0.026881523259604967","190","0.01321409179712646","0.045372046530246735","0.0000693253823556006","0.021509617567062374","190","0.01138970881700517","0.08622924238443375"
"easy-glitter-274","finished","-","mattia-scardecchia","","2024-02-27T08:13:55.000Z","863","","d89h8897","","","2024-02-27T08:28:18.000Z","2024-02-27T08:28:18.000Z","gnode02","","0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","https://github.com/MattiaSC01/HM/tree/0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","1","NVIDIA A100 80GB PCIe","ReLU","false","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/MNIST","cuda","false","1e-8","[784,15]","gnode02","mnist-train","784","0.001","3000","false","SAM","2.2.0","0.15","9","0.035","40000","1024","0.1","1","0.017095256484268864","0.033658260790010296","0.034170226232769586","0.03576209116727114","0.03852601791732013","0.04251636223246654","0.047889748588204384","0.05490126553922891","0.06261595555891593","0.07234424042205016","0.0851510011901458","3.5565468288304907e-10","0.00002643074588692","0.00005954968869659112","0.0001266857231790772","0.0002469551380507966","0.0002224306449456652","0.0001164669185550105","0.00029544482978308254","0.00025991152275736435","0.00031987849889820156","0.013837066292762754","0.09502790868282318","0.09543278316656748","0.09671092530091605","0.0988327239950498","0.10202112545569736","0.10626205305258432","0.1118140071630478","0.11860517660776776","0.12701910237471262","0.13692394395669302","0","0.000009167473436024336","0.000025803324117926403","0.00002307836111595708","0.00003770672617045735","0.000045884041948147975","0.00005823768997460127","0.00016779474948354863","0.00005876936050640217","0.00011105656327825018","0.008479418600909408","0.033658260328229515","0.03396347452653572","0.03485387586988509","0.036347402120009066","0.03836711416952312","0.04112413446418941","0.044343238789588214","0.04826088130939752","0.052622104482725265","0.057836300088092686","3.8824504981068157e-10","0.000027581799698494723","0.0000653197360979422","0.0001219810090579748","0.0001776333751920492","0.00020219516801987545","0.0003611272731306788","0.00040142906663228896","0.0003337468710098984","0.00044936384517346126","0.0063708738237619605","0.09502790868282318","0.09525181502103804","0.095935270935297","0.09699091836810111","0.0985228218138218","0.1005608841776848","0.10298217386007308","0.1061713859438896","0.10933626294136048","0.11320838332176208","0","0.00003613734444433359","0.00005207402710336705","0.0001253026273390033","0.00017911817910552127","0.0002442651126664608","0.0003693903882329894","0.00023542608559144244","0.0006437727161339582","0.000676804989053585","0.0038161659613251686","0.017095256484268864","462","0.008479418600909408","0.03334511071443558","0.00006279096123762429","0.013837066292762754","462","0.0063708738237619605","0.09502790868282318"
"kind-firefly-273","finished","-","mattia-scardecchia","","2024-02-27T08:05:52.000Z","480","","spgsg1qx","","","2024-02-27T08:13:52.000Z","2024-02-27T08:13:52.000Z","gnode02","","0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","https://github.com/MattiaSC01/HM/tree/0f4ec0ed5fd1a631f94828b9f5f09657cc05a7b3","1","NVIDIA A100 80GB PCIe","ReLU","","false","64","[0.9,0.999]","false","true","x86_64","MSELoss","12.1","data/MNIST","cuda","false","1e-8","[784,15]","gnode02","mnist-train","784","0.001","3000","false","AdamW","2.2.0","","9","0.035","40000","1024","0.1","1","0.03666004500507067","0.03330366934339205","0.034864950769891344","0.0391566459244738","0.04601987963542342","0.05539762508124113","0.06760508318742116","0.08031606022268534","0.09595067116121452","0.11379412313302358","0.13322842648873726","8.176743481970033e-10","0.000051518101342424534","0.00006512694330219578","0.00015956766838394116","0.0003402869289412458","0.000786568499123405","0.0005358706248362955","0.00034702916918955803","0.00030478619419138696","0.0001240406343344358","0.027033298214276635","0.10530827194452286","0.1062547042965889","0.10907940318187076","0.11382765819629032","0.12043424447377522","0.12896697223186493","0.13946721454461417","0.15177924931049347","0.16604430973529816","0.1822536736726761","0","0.000004139379242966107","0.000012575031426180605","0.00002029568970523776","0.00005884702423062715","0.00005149214136753425","0.00006529521923229378","0.00003756511510989363","0.00012052081558467809","0.00017590837325137234","0.021740356638329107","0.033303668908774856","0.03413757070666179","0.03641103501431644","0.04035062536131591","0.04559477244038135","0.052483962499536574","0.06046406086534262","0.07086441032588482","0.08178739906288683","0.09504275773651898","4.0773071151734936e-10","0.00012593019428685327","0.0002863300163401308","0.0005754615679312662","0.0007050572198320737","0.0010114960454713153","0.0008399485104162783","0.0017268819036192263","0.002275827746629869","0.0019131577688690897","0.018142901584506044","0.10530827194452286","0.1059643842279911","0.10795843079686164","0.1110270269215107","0.11541189923882483","0.12099757716059684","0.1275533765554428","0.136850705742836","0.1462750941514969","0.15716496855020523","0","0.00009023933695980324","0.00018904708729665303","0.0002615723901760363","0.0008222734732827233","0.0007160761467081179","0.001167990196021543","0.0016207912119048625","0.0020999881175375675","0.00313430675768222","0.0008384087705053389","0.03666004500507067","283","0.021740356638329107","0.03477029502391815","0.00007396642467938364","0.027033298214276635","283","0.018142901584506044","0.10530827194452286"
